Trainable Param: 481
Iteration (53900/100000): Loss=5.356e-03
Iteration (54000/100000): Loss=2.301e-03
Iteration (54100/100000): Loss=2.276e-03
Iteration (54200/100000): Loss=2.429e-03
Iteration (54300/100000): Loss=2.271e-03
Iteration (54400/100000): Loss=3.621e-03
Iteration (54500/100000): Loss=2.270e-03
Iteration (54600/100000): Loss=2.449e-03
Iteration (54700/100000): Loss=2.271e-03
Iteration (54800/100000): Loss=4.246e-03
Iteration (54900/100000): Loss=2.257e-03
Iteration (55000/100000): Loss=2.510e-03
Iteration (55100/100000): Loss=2.253e-03
Iteration (55200/100000): Loss=1.400e-01
Iteration (55300/100000): Loss=2.257e-03
Iteration (55400/100000): Loss=2.276e-03
Iteration (55500/100000): Loss=2.447e-03
Iteration (55600/100000): Loss=2.263e-03
Iteration (55700/100000): Loss=2.247e-03
Iteration (55800/100000): Loss=2.236e-03
Iteration (55900/100000): Loss=2.483e-02
Iteration (56000/100000): Loss=2.231e-03
Iteration (56100/100000): Loss=2.353e-03
Iteration (56200/100000): Loss=2.227e-03
Iteration (56300/100000): Loss=1.100e-02
Iteration (56400/100000): Loss=2.223e-03
Iteration (56500/100000): Loss=6.720e-02
Iteration (56600/100000): Loss=2.225e-03
Iteration (56700/100000): Loss=2.213e-03
Iteration (56800/100000): Loss=2.283e-03
Iteration (56900/100000): Loss=2.211e-03
Iteration (57000/100000): Loss=9.740e-03
Iteration (57100/100000): Loss=2.205e-03
Iteration (57200/100000): Loss=2.507e-03
Iteration (57300/100000): Loss=2.555e-03
Iteration (57400/100000): Loss=2.649e-03
Iteration (57500/100000): Loss=2.196e-03
Iteration (57600/100000): Loss=2.221e-03
Iteration (57700/100000): Loss=2.277e-03
Iteration (57800/100000): Loss=2.445e-03
Iteration (57900/100000): Loss=2.187e-03
Iteration (58000/100000): Loss=2.277e-03
Iteration (58100/100000): Loss=2.183e-03
Iteration (58200/100000): Loss=3.007e-03
Iteration (58300/100000): Loss=2.507e-03
Iteration (58400/100000): Loss=2.217e-03
Iteration (58500/100000): Loss=2.175e-03
Iteration (58600/100000): Loss=8.009e-03
Iteration (58700/100000): Loss=2.171e-03
Iteration (58800/100000): Loss=1.170e-02
Iteration (58900/100000): Loss=2.169e-03
Iteration (59000/100000): Loss=2.626e-03
Iteration (59100/100000): Loss=2.166e-03
